50765,79200,51765,52560,,31705,30990,32281,31947,,3,,0.6341,0.6198,0.64562,0.63894
56420,86555,55548,57107,,36563,36153,37400,35528,,4,,0.73126,0.72306,0.748,0.71056
60304,90550,61356,60335,,41214,42197,41620,40533,,5,,0.82428,0.84394,0.8324,0.81066
65151,93241,66582,66011,,46393,45815,46815,46783,,6,,0.92786,0.9163,0.9363,0.93566
70198,98392,70513,73361,,51724,51297,51581,49348,,7,,1.03448,1.02594,1.03162,0.98696
74576,106252,76494,75587,,57221,55397,57503,54240,,8,,1.14442,1.10794,1.15006,1.0848
80576,109820,79549,81715,,61244,60689,60989,59404,,9,,1.22488,1.21378,1.21978,1.18808
85035,112614,84153,85217,,67530,64636,66158,65294,,10,,1.3506,1.29272,1.32316,1.30588
87185,118994,91312,89770,,70279,69714,70863,71187,,11,,1.40558,1.39428,1.41726,1.42374
93727,124105,94336,94602,,74232,74334,76184,74601,,12,,1.48464,1.48668,1.52368,1.49202
98183,128036,97992,99617,,79854,79139,80328,78357,,13,,1.59708,1.58278,1.60656,1.56714
103673,131428,104098,104505,,84392,84268,84650,82504,,14,,1.68784,1.68536,1.693,1.65008
106885,136765,109017,108617,,89352,89793,89437,88831,,15,,1.78704,1.79586,1.78874,1.77662
110502,141670,112721,114131,,94299,94492,95216,93720,,16,,1.88598,1.88984,1.90432,1.8744
117926,146112,119995,119091,,99275,98133,101042,99035,,17,,1.9855,1.96266,2.02084,1.9807
121494,151612,121512,123100,,103700,102076,102424,103202,,18,,2.074,2.04152,2.04848,2.06404
28799,60639,29586,28957,,108930,107041,108769,107902,,19,,2.1786,2.14082,2.17538,2.15804
33011,68513,33125,33127,,112665,112563,114463,112016,,20,,2.2533,2.25126,2.28926,2.24032
38838,70413,39266,39113,,,,,,,,,,,,
42121,74755,43633,44015,,22296,22311,22039,22187,,1,,0.44592,0.44622,0.44078,0.44374
48641,79485,50299,49787,,26877,26729,26555,25508,,2,,0.53754,0.53458,0.5311,0.51016
53011,85334,53642,53656,,30999,31377,31563,32106,,3,,0.61998,0.62754,0.63126,0.64212
57941,88983,57490,58233,,38010,36785,36465,36541,,4,,0.7602,0.7357,0.7293,0.73082
61784,94304,62574,63147,,41535,41506,42129,41645,,5,,0.8307,0.83012,0.84258,0.8329
67208,100433,70100,69127,,46011,44834,46301,45538,,6,,0.92022,0.89668,0.92602,0.91076
71354,102484,73028,72198,,51408,50867,50228,51293,,7,,1.02816,1.01734,1.00456,1.02586
78019,107765,76768,77274,,56797,55835,55324,54995,,8,,1.13594,1.1167,1.10648,1.0999
81632,111422,83371,80445,,61539,59029,60308,61587,,9,,1.23078,1.18058,1.20616,1.23174
86353,118241,86242,87078,,65622,65910,64206,65384,,10,,1.31244,1.3182,1.28412,1.30768
89531,123152,92047,92036,,70239,69797,70820,70540,,11,,1.40478,1.39594,1.4164,1.4108
95368,127116,95855,97546,,75010,74352,75810,75513,,12,,1.5002,1.48704,1.5162,1.51026
101352,131635,100864,100447,,78666,78422,78409,78670,,13,,1.57332,1.56844,1.56818,1.5734
105850,136874,106047,106416,,84238,84232,84392,83917,,14,,1.68476,1.68464,1.68784,1.67834
108700,141437,110359,112276,,90875,88956,89927,89282,,15,,1.8175,1.77912,1.79854,1.78564
114961,148065,114577,116030,,93817,94396,93604,94580,,16,,1.87634,1.88792,1.87208,1.8916
119094,151345,120929,120368,,99200,99269,98907,98925,,17,,1.984,1.98538,1.97814,1.9785
26380,59317,27851,26400,,104194,103055,102947,103145,,18,,2.08388,2.0611,2.05894,2.0629
32834,66035,32714,31696,,106926,107707,108590,107696,,19,,2.13852,2.15414,2.1718,2.15392
36624,68901,38666,36483,,113476,111573,112683,113713,,20,,2.26952,2.23146,2.25366,2.27426
41962,75199,40862,42234,,,,,,,,,,,,
45799,77401,47671,46576,,22197,22308,21787,22682,,1,,0.44394,0.44616,0.43574,0.45364
