31372,30770,33141,32746,,,,,,,,
30553,31426,30955,31219,,,,,,,,
32477,31585,31038,30615,,,,,,,,
51121,70300,61079,59439,,,,,,,,
36270,33498,35476,33336,,,,,,,,
32550,31626,32313,30798,,,,,,,,
31811,31064,31461,31380,,,,,,,,
32054,31522,31071,31659,,,,,,,,
31096,31261,30559,31713,,,,,,,,
51694,69923,60610,59497,,,,,,,,
36012,33877,36506,32909,,,,,,,,
32221,32468,32132,30947,,,,,,,,
31771,32348,31933,30719,,,,,,,,
32524,31819,32119,31791,,,,,,,,
31703,30907,31342,31324,,,,,,,,
58110,77234,66111,65145,,,,,,,,
40075,39418,40166,37482,,,,,,,,
38370,35936,37768,36374,,,,,,,,
36344,35784,36581,35703,,,,,,,,
36518,36556,36690,35949,,,,,,,,
36353,35798,35725,36823,,,,,,,,
56653,75179,65982,66467,,,,,,,,
40675,38204,41013,37330,,,,,,,,
37953,36843,38069,35424,,,,,,,,
36868,36500,36526,36540,,,,,,,,
36045,37071,36820,37189,,,,,,,,
36044,35889,36019,35241,,,,,,,,
54345,76037,67280,65601,,,,,,,,
40967,37467,40122,38531,,,,,,,,
37426,36911,36603,35158,,,,,,,,
36529,36166,36327,35540,,,,,,,,
36214,37660,36557,37009,,,,,,,,
35948,36344,36637,35201,,,,,,,,
54497,77482,65538,64698,,,,,,,,
40001,39666,40356,38641,,,,,,,,
38295,36178,37876,35464,,,,,,,,
36965,36577,35829,37032,,,,,,,,
36137,36029,35523,35664,,,,,,,,
35527,35166,35887,35608,,,,,,,,
54958,75129,62468,66697,,,,,,,,
40441,38353,40005,38110,,,,,,,,
37274,35709,37350,35716,,,,,,,,
36439,36427,37252,35077,,,,,,,,
35824,36051,36190,36812,,,,,,,,
37137,36618,35969,35585,,,,,,,,
60200,80629,69466,71803,,,,,,,,
45004,41294,45124,44506,,,,,,,,
43232,41119,41293,40684,,,,,,,,
41558,41345,41210,40637,,,,,,,,
41602,40595,41472,39961,,,,,,,,
41071,40060,40652,41018,,,,,,,,
60810,83154,70789,68807,,,,,,,,
45192,41912,44943,42182,,,,,,,,
42999,40982,42763,40639,,,,,,,,
40731,39750,41500,41082,,,,,,,,
41254,40573,40939,40409,,,,,,,,
40322,40791,40157,41197,,,,,,,,
63045,78912,69996,67955,,,,,,,,
44387,42495,44427,43420,,,,,,,,
42039,40858,42693,41145,,,,,,,,
41663,40889,42890,42138,,,,,,,,
41015,40883,41357,40784,,,,,,,,
41853,40948,41182,41487,,,,,,,,
61572,81228,69819,70437,,,,,,,,
46043,43201,46494,42817,,,,,,,,
43366,41445,41857,40588,,,,,,,,
41527,40998,41511,42081,,,,,,,,
40815,40189,41349,41181,,,,,,,,
40291,41763,40000,40591,,,,,,,,
61443,80223,71143,71121,,,,,,,,
44778,42875,44270,42590,,,,,,,,
42159,40987,42027,41638,,,,,,,,
41527,40681,41057,40785,,,,,,,,
40474,42671,41297,41764,,,,,,,,
40255,41407,40092,41339,,,,,,,,
67048,87716,73970,73188,,,,,,,,
50575,46540,49831,48387,,,,,,,,
46478,45837,46620,46272,,,,,,,,
47661,45721,46852,45780,,,,,,,,
45705,46459,45212,44606,,,,,,,,
46101,46109,46228,45594,,,,,,,,
67403,87858,76874,75456,,,,,,,,
50752,48589,50513,46593,,,,,,,,
48309,45431,46985,45896,,,,,,,,
45488,44900,46643,45990,,,,,,,,
47402,45525,46020,45938,,,,,,,,
46019,45681,45236,45466,,,,,,,,
64744,84662,75825,75994,,,,,,,,
