67691,74782,53629,48768,,,,,,,,
61154,70828,53274,51734,,,,,,,,
58220,66461,54505,51224,,,,,,,,
53502,61309,49996,49354,,,,,,,,
50234,56763,47302,46427,,,,,,,,
46065,50268,44855,43350,,,,,,,,
43556,47048,40143,39328,,,,,,,,
26732,136444,13647,11566,,,,,,,,
32745,129872,13335,12164,,,,,,,,
41473,127113,13216,11918,,,,,,,,
49253,121034,15466,13509,,,,,,,,
56192,118824,16419,13506,,,,,,,,
62752,113663,17334,16274,,,,,,,,
68708,107760,19613,16370,,,,,,,,
69694,104537,23083,18982,,,,,,,,
71179,98216,26000,22561,,,,,,,,
70469,93022,29993,24558,,,,,,,,
67946,89579,37970,30543,,,,,,,,
67766,84877,44828,34174,,,,,,,,
64571,79439,52824,42775,,,,,,,,
59560,76153,55761,50275,,,,,,,,
59637,70147,55754,50813,,,,,,,,
53664,65368,53863,52498,,,,,,,,
51491,60676,49045,48810,,,,,,,,
48259,54602,46477,47570,,,,,,,,
44271,52540,44389,41652,,,,,,,,
40391,46645,41096,40640,,,,,,,,
20352,10110,11018,10471,,,,,,,,
27007,10113,10615,10651,,,,,,,,
32568,10040,11374,10307,,,,,,,,
41561,9748,11731,10120,,,,,,,,
49419,9918,12245,9979,,,,,,,,
54376,9697,14164,9617,,,,,,,,
58156,9301,15505,9711,,,,,,,,
62605,9161,18363,9151,,,,,,,,
64844,9170,22276,9271,,,,,,,,
65064,8887,26174,8804,,,,,,,,
64215,8441,38661,8512,,,,,,,,
62734,8185,47598,8351,,,,,,,,
60755,8040,51705,8066,,,,,,,,
57382,7849,54675,7765,,,,,,,,
56091,7446,53264,7378,,,,,,,,
53961,7034,51295,7177,,,,,,,,
49438,6804,46947,6788,,,,,,,,
47227,6167,45750,6371,,,,,,,,
44369,5891,43004,6363,,,,,,,,
39864,5581,37195,5688,,,,,,,,
16497,10398,8941,1731,,,,,,,,
22043,10265,8118,1710,,,,,,,,
27451,10343,8720,1622,,,,,,,,
34105,9792,9038,1604,,,,,,,,
39543,9642,10586,1575,,,,,,,,
47825,9560,11308,1574,,,,,,,,
51958,9115,13108,1431,,,,,,,,
56831,9365,14813,1520,,,,,,,,
57898,8800,17704,1318,,,,,,,,
59683,8692,23781,1357,,,,,,,,
59930,8355,30258,1258,,,,,,,,
58227,8398,39339,1230,,,,,,,,
57945,8252,49056,1162,,,,,,,,
56475,7739,50754,1087,,,,,,,,
53947,7490,50606,1005,,,,,,,,
50795,7159,50318,1009,,,,,,,,
47656,6626,46814,940,,,,,,,,
45311,6250,45157,845,,,,,,,,
42501,6185,41821,846,,,,,,,,
38472,5665,38299,675,,,,,,,,
13406,10142,7603,1692,,,,,,,,
16451,10184,6591,1787,,,,,,,,
22884,10167,7281,1723,,,,,,,,
28522,9602,7498,1617,,,,,,,,
34354,9675,8203,1534,,,,,,,,
40471,9562,9571,1504,,,,,,,,
47406,9435,11620,1500,,,,,,,,
51403,9142,12719,1395,,,,,,,,
51565,9144,17298,1433,,,,,,,,
54622,8546,23795,1341,,,,,,,,
54223,8798,33335,1269,,,,,,,,
56264,8370,43250,1160,,,,,,,,
54010,7938,47470,1088,,,,,,,,
52459,7531,49862,1070,,,,,,,,
52130,7783,50456,1048,,,,,,,,
49311,7126,46709,957,,,,,,,,
47723,6685,44592,901,,,,,,,,
43089,6368,43307,855,,,,,,,,
40941,5899,38755,778,,,,,,,,
38920,5484,37486,675,,,,,,,,
10916,10061,5840,1843,,,,,,,,
14328,9882,5113,1744,,,,,,,,
18803,10206,5702,1729,,,,,,,,
22881,9795,6262,1605,,,,,,,,
27942,9698,7693,1548,,,,,,,,
35861,9654,8158,1522,,,,,,,,
40373,9615,10055,1513,,,,,,,,
44449,9173,11839,1434,,,,,,,,
49038,8908,14927,1299,,,,,,,,
50869,8778,21062,1261,,,,,,,,
52855,8438,28803,1272,,,,,,,,
53161,8100,37742,1254,,,,,,,,
53346,7798,45813,1043,,,,,,,,
50732,7663,49396,1069,,,,,,,,
48439,7142,46267,992,,,,,,,,
47004,7004,44286,981,,,,,,,,
44332,6831,44860,860,,,,,,,,
41725,6364,42122,861,,,,,,,,
39725,6288,38668,787,,,,,,,,
35195,5507,35293,754,,,,,,,,
9945,10114,5092,1597,,,,,,,,
12324,10183,4457,1541,,,,,,,,
15304,9913,4796,1573,,,,,,,,
20164,9672,5405,1497,,,,,,,,
22908,9895,6365,1449,,,,,,,,
30524,9294,7474,1470,,,,,,,,
34285,9327,8974,1377,,,,,,,,
40175,9140,10859,1228,,,,,,,,
43349,8974,13790,1237,,,,,,,,
46038,8829,20396,1142,,,,,,,,
48352,8654,28928,1146,,,,,,,,
48077,8323,37972,1035,,,,,,,,
49490,8041,43707,1043,,,,,,,,
49853,7577,44996,979,,,,,,,,
47028,7453,45402,908,,,,,,,,
45200,7189,44630,857,,,,,,,,
43013,6879,42635,815,,,,,,,,
38529,6241,40544,815,,,,,,,,
37849,6267,37394,704,,,,,,,,
36839,5451,35309,674,,,,,,,,
8032,1569,4417,1552,,,,,,,,
10669,1652,3813,1643,,,,,,,,
13449,1563,3949,1479,,,,,,,,
17273,1397,4808,1516,,,,,,,,
21177,1416,5259,1416,,,,,,,,
23909,1403,6684,1265,,,,,,,,
31092,1388,7161,1304,,,,,,,,
34845,1369,9656,1233,,,,,,,,
