158656,161621,167208,172669
151408,157149,163781,166772
142019,150581,156782,162303
135837,146715,149668,156714
121214,142126,144592,153220
114206,138680,139418,148072
102901,132512,132187,143278
94033,128303,123660,138702
85342,125702,112862,133713
78796,119891,99064,129157
76604,114391,85975,124152
69491,110725,75250,120370
65056,106692,68858,116656
62654,101781,65061,110988
59128,96433,60132,106951
57170,93423,56288,101431
55973,89524,54649,95009
51582,84141,51911,91660
49108,80017,49088,87270
168461,175741,172985,176348
161563,172060,167799,171146
154061,167078,162720,167215
144357,162667,157424,162110
135591,157465,153448,157900
129613,152760,146696,152463
116291,149260,141467,148736
109733,142697,133491,143084
99482,139577,126799,139243
88811,134456,116041,133395
83419,128719,106215,129181
77089,123008,93493,124031
71043,119160,76322,120026
66384,114887,69086,116972
64441,110114,66471,110730
63268,104838,62229,106371
57293,100171,58398,100899
55900,95261,56897,97200
54217,90285,54926,92050
50744,85872,52637,85883
170412,176307,173862,176484
163988,171402,169703,171475
156844,167750,164180,167397
147961,162698,157447,162239
139015,157491,153060,158309
131748,153214,147672,153234
121291,148026,143097,148105
112010,142776,134576,142961
105043,137354,127629,139737
93664,134724,116492,134151
88323,128662,108358,129738
82079,124484,92427,123674
77524,120302,81239,119362
71056,115737,74942,116097
68067,109240,68179,109913
63246,104936,64295,105283
60088,100764,61473,100946
56789,96424,58817,97123
55544,90876,54109,90194
53995,87530,54843,87877
171505,176738,174454,176119
164121,170267,169729,172079
158655,167467,164774,166553
151951,162385,159133,163111
144586,156449,154188,158115
135707,152736,147852,151861
126270,147388,142336,149303
114891,143298,134354,144448
107115,138062,128931,139415
95579,134117,118768,133499
95103,129180,106839,127701
87888,124648,91081,124336
79337,119855,83720,120586
75486,114759,77432,116459
70403,109341,72076,110195
67388,104579,65259,105398
63797,101007,60883,100211
59703,97080,61399,96051
57463,92205,56902,91440
55485,86759,54372,87297
172445,176756,175593,177249
166848,171643,170108,172419
159819,166082,165259,167537
152958,162609,160630,161764
143355,157437,153074,157142
138637,153293,148319,153810
128767,147038,142682,148580
120874,143263,136693,143628
112365,139246,130931,138970
101698,133712,123454,133007
98411,128303,106589,128876
90526,125803,95966,124954
81511,120767,86197,119386
77757,114933,78811,115575
73954,110005,73013,109118
67888,103413,67118,107337
65581,99721,66473,99908
60595,96252,61643,94458
58482,91117,58571,90405
58745,87428,55770,85957
173662,175440,176294,175953
167179,171984,170672,171376
161863,167311,165442,166875
154748,162146,161373,163352
147991,156338,154458,159442
141863,151617,150707,152324
131786,147486,144198,147767
124942,144265,136981,143814
115436,137800,129868,139695
108524,133498,121929,134817
100136,127576,112971,128973
91872,125169,95800,125705
84204,118162,85530,118814
80550,115118,80562,116187
76565,108882,75919,111286
70940,106118,71485,105730
66290,99723,67307,99733
62557,96450,62212,97268
60266,92633,60301,90794
56425,87014,57665,87029
174828,176458,176439,176464
169300,172403,172085,172422
162642,168049,166646,166465
156356,162905,161098,162997
149153,157510,156199,158001
140497,153140,149803,153003
135250,148457,145036,149438
129272,144323,137682,145006
120004,138636,131221,139409
110225,135059,125181,134034
102258,128955,110329,128123
94308,124910,99462,124249
88608,119889,92820,120225
83026,114907,83366,114127
76393,110676,76436,111178
72165,106245,71434,105630
67574,100700,67025,98921
65764,96504,63531,95617
60013,91153,60390,91415
58572,87436,57153,87021
173818,175982,176983,177647
169802,172457,171190,172534
163780,166447,166362,168148
157593,162385,162005,164184
151782,156802,155131,158056
145195,152194,152364,152409
136586,148328,145274,147402
128778,143904,140029,143882
120674,138050,132604,139199
112423,134875,124870,134257
106201,131067,115313,129728
98916,123168,102416,124117
92439,120093,92169,119627
82848,114923,88436,116017
79693,112604,80159,108926
74704,104622,75242,106022
68944,102500,71082,101031
67727,95616,64982,96374
60988,94271,62335,92674
60472,85455,60141,87120
175360,176317,176751,176399
170163,172048,172083,173195
165127,167383,166825,166649
156032,162001,161573,162200
151690,157317,155560,157179
145831,154041,151072,153326
138162,148047,146462,147598
129860,143159,140298,143946
122223,139995,133524,137399
115845,133168,126175,133670
107969,129223,112141,128512
100013,124760,101801,123603
95195,120670,97522,120498
86731,114892,89150,115250
79280,110259,81055,109919
77059,104904,77895,104623
71821,100047,71837,100364
66593,96264,68541,96205
65612,91709,64403,91700
59383,87850,60619,85712
175886,176644,176929,177164
169823,173400,171643,172406
165086,167977,167324,167631
158191,161448,161909,162303
152504,156801,156668,158689
147085,152606,151408,153245
139570,148130,146936,148801
133902,144513,140327,143311
126175,139655,132400,137973
116950,135509,127119,135828
111881,129176,115679,129223
104543,125159,106397,125337
98288,120894,98513,119704
90171,116184,90179,114993
84334,111260,84593,109595
79092,105608,78865,105622
72678,100193,73649,101037
70770,97001,69637,96592
64958,92502,65437,91399
60201,85831,61296,86800
176476,177291,177296,177116
171520,171843,172288,170821
165154,167904,166063,166938
161143,162589,162486,162441
153633,159055,157457,158085
147854,153049,151481,151979
141761,148846,147044,148690
134256,143394,140897,144418
128077,138767,134285,138422
121171,134165,124729,134175
115474,129841,117789,130129
106745,125244,105907,125805
99655,119256,97930,119342
91353,116245,96077,115056
85323,110024,85233,112468
79442,105401,79789,106382
77135,100752,75912,98951
70372,97301,71074,96830
66753,93042,67012,92873
63781,87002,61689,85146
